TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
GIFT1515;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;1250;25;57 x 57;5;R$ 220,99
GIFT1516;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;500;10;57 x 57;5;R$ 93,50
GIFT1517;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;250;5;57 x 57;5;R$ 49,50
GIFT1518;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;50;1;57 x 57;5;R$ 12,50
GIFT1511;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;1250;25;57 x 57;5;R$ 220,99
GIFT1512;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;500;10;57 x 57;5;R$ 93,50
GIFT1513;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;250;5;57 x 57;5;R$ 49,50
GIFT1514;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;50;1;57 x 57;5;R$ 12,50
GIFT1562;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;1001;50;55 x 22;7;R$ 185,99
GIFT1563;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;501;25;55 x 22;5;R$ 97,50
GIFT1564;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - IMPRESSÃO UV - 10g;4X0;201;10;55 x 22;5;R$ 42,50
